0.000;0.0026993447
0.010;0.0026726446
0.020;0.0026377465
0.030;0.0025946128
0.040;0.0025432047
0.050;0.0024835011
0.060;0.0024154910
0.070;0.0023391740
0.080;0.0022545597
0.090;0.0021616677
0.100;0.0020605279
0.110;0.0019511788
0.120;0.0018336684
0.130;0.0017080536
0.140;0.0015743992
0.150;0.0014327783
0.160;0.0012832714
0.170;0.0011259657
0.180;0.0009609557
0.190;0.0007883412
0.200;0.0006082280
0.210;0.0004207265
0.220;0.0002259519
0.230;0.0000240226
0.240;-0.0001849393
0.250;-0.0004008095
0.260;-0.0006234618
0.270;-0.0008527689
0.280;-0.0010886031
0.290;-0.0013308366
0.300;-0.0015793430
0.310;-0.0018339974
0.320;-0.0020946774
0.330;-0.0023612638
0.340;-0.0026336412
0.350;-0.0029116992
0.360;-0.0031953328
0.370;-0.0034844424
0.380;-0.0037789366
0.390;-0.0040787300
0.400;-0.0043837475
0.410;-0.0046939203
0.420;-0.0050091916
0.430;-0.0053295130
0.440;-0.0056548468
0.450;-0.0059851678
0.460;-0.0063204602
0.470;-0.0066607217
0.480;-0.0070059616
0.490;-0.0073562008
0.500;-0.0077114739
0.510;-0.0080718268
0.520;-0.0084373197
0.530;-0.0088080233
0.540;-0.0091840224
0.550;-0.0095654111
0.560;-0.0099522974
0.570;-0.0103448005
0.580;-0.0107430471
0.590;-0.0111471759
0.600;-0.0115573350
0.610;-0.0119736791
0.620;-0.0123963701
0.630;-0.0128255766
0.640;-0.0132614709
0.650;-0.0137042291
0.660;-0.0141540291
0.670;-0.0146110496
0.680;-0.0150754685
0.690;-0.0155474609
0.700;-0.0160271972
0.710;-0.0165148452
0.720;-0.0170105584
0.730;-0.0175144877
0.740;-0.0180267692
0.750;-0.0185475275
0.760;-0.0190768726
0.770;-0.0196148995
0.780;-0.0201616809
0.790;-0.0207172781
0.800;-0.0212817248
0.810;-0.0218550302
0.820;-0.0224371813
0.830;-0.0230281409
0.840;-0.0236278493
0.850;-0.0242362097
0.860;-0.0248531010
0.870;-0.0254783761
0.880;-0.0261118524
0.890;-0.0267533194
0.900;-0.0274025369
0.910;-0.0280592311
0.920;-0.0287230965
0.930;-0.0293938015
0.940;-0.0300709791
0.950;-0.0307542291
0.960;-0.0314431265
0.970;-0.0321372226
0.980;-0.0328360423
0.990;-0.0335390791
1.000;-0.0342458040
1.010;-0.0349556692
1.020;-0.0356681049
1.030;-0.0363825187
1.040;-0.0370983109
1.050;-0.0378148630
1.060;-0.0385315418
1.070;-0.0392477103
